go_id	description
GO:0000155	two-component sensor activity
GO:0000156	two-component response regulator activity
GO:0000150	recombinase activity
GO:0008883	glutamyl-tRNA reductase activity
GO:0000152	nuclear ubiquitin ligase complex
GO:0004312	fatty acid synthase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0051998	protein carboxyl O-methyltransferase activity
GO:0004152	dihydroorotate dehydrogenase activity
GO:0004133	glycogen debranching enzyme activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0010629	negative regulation of gene expression
GO:0006807	nitrogen compound metabolic process
GO:0008312	7S RNA binding
GO:0006801	superoxide metabolic process
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0006808	regulation of nitrogen utilization
GO:0008318	protein prenyltransferase activity
GO:0046912	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer
GO:0051187	cofactor catabolic process
GO:0051186	cofactor metabolic process
GO:0008083	growth factor activity
GO:0008080	N-acetyltransferase activity
GO:0008081	phosphoric diester hydrolase activity
GO:0016801	hydrolase activity, acting on ether bonds
GO:0016802	trialkylsulfonium hydrolase activity
GO:0051189	prosthetic group metabolic process
GO:0051188	cofactor biosynthetic process
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0015114	phosphate transmembrane transporter activity
GO:0048278	vesicle docking
GO:0051236	establishment of RNA localization
GO:0051235	maintenance of location
GO:0051234	establishment of localization
GO:0008943	glyceraldehyde-3-phosphate dehydrogenase activity
GO:0019674	NAD metabolic process
GO:0019899	enzyme binding
GO:0019898	extrinsic to membrane
GO:0016491	oxidoreductase activity
GO:0071806	protein transmembrane transport
GO:0070283	radical SAM enzyme activity
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0016703	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
GO:0050136	NADH dehydrogenase (quinone) activity
GO:0040011	locomotion
GO:0042168	heme metabolic process
GO:0072599	establishment of protein localization in endoplasmic reticulum
GO:0072595	maintenance of protein localization to organelle
GO:0072594	establishment of protein localization to organelle
GO:0072593	reactive oxygen species metabolic process
GO:0006928	cellular component movement
GO:0008519	ammonium transmembrane transporter activity
GO:0007033	vacuole organization
GO:0007030	Golgi organization
GO:0007031	peroxisome organization
GO:0007034	vacuolar transport
GO:0009062	fatty acid catabolic process
GO:0016885	ligase activity, forming carbon-carbon bonds
GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0016887	ATPase activity
GO:0030243	cellulose metabolic process
GO:0016886	ligase activity, forming phosphoric ester bonds
GO:0030247	polysaccharide binding
GO:0030246	carbohydrate binding
GO:0016234	inclusion body
GO:0030244	cellulose biosynthetic process
GO:0008825	cyclopropane-fatty-acyl-phospholipid synthase activity
GO:0046040	IMP metabolic process
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0046049	UMP metabolic process
GO:0006325	chromatin organization
GO:0017056	structural constituent of nuclear pore
GO:0045935	positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process
GO:0045934	negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process
GO:0030029	actin filament-based process
GO:0015940	pantothenate biosynthetic process
GO:0035299	inositol pentakisphosphate 2-kinase activity
GO:0042586	peptide deformylase activity
GO:0008898	homocysteine S-methyltransferase activity
GO:0006497	protein lipidation
GO:0006499	N-terminal protein myristoylation
GO:0006498	N-terminal protein lipidation
GO:0006259	DNA metabolic process
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0005787	signal peptidase complex
GO:0005785	signal recognition particle receptor complex
GO:0005783	endoplasmic reticulum
GO:0006471	protein ADP-ribosylation
GO:0009219	pyrimidine deoxyribonucleotide metabolic process
GO:0031970	organelle envelope lumen
GO:0005788	endoplasmic reticulum lumen
GO:0005789	endoplasmic reticulum membrane
GO:0030117	membrane coat
GO:0030119	AP-type membrane coat adaptor complex
GO:0030118	clathrin coat
GO:0046131	pyrimidine ribonucleoside metabolic process
GO:0006541	glutamine metabolic process
GO:0030488	tRNA methylation
GO:0006783	heme biosynthetic process
GO:0048869	cellular developmental process
GO:0006787	porphyrin catabolic process
GO:0006075	1,3-beta-D-glucan biosynthetic process
GO:0006074	1,3-beta-D-glucan metabolic process
GO:0022900	electron transport chain
GO:0006071	glycerol metabolic process
GO:0005674	transcription factor TFIIF complex
GO:0022904	respiratory electron transport chain
GO:0048518	positive regulation of biological process
GO:0048519	negative regulation of biological process
GO:0005099	Ras GTPase activator activity
GO:0005092	GDP-dissociation inhibitor activity
GO:0000097	sulfur amino acid biosynthetic process
GO:0000096	sulfur amino acid metabolic process
GO:0005096	GTPase activator activity
GO:0005097	Rab GTPase activator activity
GO:0005094	Rho GDP-dissociation inhibitor activity
GO:0004789	thiamine-phosphate diphosphorylase activity
GO:0004788	thiamine diphosphokinase activity
GO:0004784	superoxide dismutase activity
GO:0004781	sulfate adenylyltransferase (ATP) activity
GO:0004418	hydroxymethylbilane synthase activity
GO:0004417	hydroxyethylthiazole kinase activity
GO:0004411	homogentisate 1,2-dioxygenase activity
GO:0002376	immune system process
GO:0016598	protein arginylation
GO:0006672	ceramide metabolic process
GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process
GO:0009141	nucleoside triphosphate metabolic process
GO:0009142	nucleoside triphosphate biosynthetic process
GO:0009144	purine nucleoside triphosphate metabolic process
GO:0009145	purine nucleoside triphosphate biosynthetic process
GO:0009147	pyrimidine nucleoside triphosphate metabolic process
GO:0000781	chromosome, telomeric region
GO:0000785	chromatin
GO:0000784	nuclear chromosome, telomeric region
GO:0000786	nucleosome
GO:0008168	methyltransferase activity
GO:0042625	ATPase activity, coupled to transmembrane movement of ions
GO:0042626	ATPase activity, coupled to transmembrane movement of substances
GO:0045116	protein neddylation
GO:0000145	exocyst
GO:0042623	ATPase activity, coupled
GO:0016597	amino acid binding
GO:0008897	holo-[acyl-carrier-protein] synthase activity
GO:0000148	1,3-beta-D-glucan synthase complex
GO:0090066	regulation of anatomical structure size
GO:0005529	sugar binding
GO:0005253	anion channel activity
GO:0005254	chloride channel activity
GO:0005524	ATP binding
GO:0005525	GTP binding
GO:0004129	cytochrome-c oxidase activity
GO:0006818	hydrogen transport
GO:0006813	potassium ion transport
GO:0006812	cation transport
GO:0006811	ion transport
GO:0006810	transport
GO:0006817	phosphate transport
GO:0004126	cytidine deaminase activity
GO:0003824	catalytic activity
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0006814	sodium ion transport
GO:0008308	voltage-gated anion channel activity
GO:0008094	DNA-dependent ATPase activity
GO:0008097	5S rRNA binding
GO:0003682	chromatin binding
GO:0016838	carbon-oxygen lyase activity, acting on phosphates
GO:0046907	intracellular transport
GO:0046906	tetrapyrrole binding
GO:0016835	carbon-oxygen lyase activity
GO:0016836	hydro-lyase activity
GO:0016837	carbon-oxygen lyase activity, acting on polysaccharides
GO:0016830	carbon-carbon lyase activity
GO:0016831	carboxy-lyase activity
GO:0016832	aldehyde-lyase activity
GO:0016833	oxo-acid-lyase activity
GO:0015300	solute:solute antiporter activity
GO:0003873	6-phosphofructo-2-kinase activity
GO:0008238	exopeptidase activity
GO:0003951	NAD+ kinase activity
GO:0003950	NAD+ ADP-ribosyltransferase activity
GO:0008233	peptidase activity
GO:0008235	metalloexopeptidase activity
GO:0008234	cysteine-type peptidase activity
GO:0008237	metallopeptidase activity
GO:0008236	serine-type peptidase activity
GO:0051087	chaperone binding
GO:0051082	unfolded protein binding
GO:0046834	lipid phosphorylation
GO:0015370	solute:sodium symporter activity
GO:0046836	glycolipid transport
GO:0032270	positive regulation of cellular protein metabolic process
GO:0032271	regulation of protein polymerization
GO:0042802	identical protein binding
GO:0042803	protein homodimerization activity
GO:0032502	developmental process
GO:0032501	multicellular organismal process
GO:0032507	maintenance of protein location in cell
GO:0033588	Elongator holoenzyme complex
GO:0016485	protein processing
GO:0008430	selenium binding
GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen
GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
GO:0008092	cytoskeletal protein binding
GO:0000428	DNA-directed RNA polymerase complex
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0080134	regulation of response to stress
GO:0016137	glycoside metabolic process
GO:0080135	regulation of cellular response to stress
GO:0015629	actin cytoskeleton
GO:0031406	carboxylic acid binding
GO:0016138	glycoside biosynthetic process
GO:0030131	clathrin adaptor complex
GO:0019288	isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway
GO:0030130	clathrin coat of trans-Golgi network vesicle
GO:0007021	tubulin complex assembly
GO:0032984	macromolecular complex disassembly
GO:0030833	regulation of actin filament polymerization
GO:0071704	organic substance metabolic process
GO:0071702	organic substance transport
GO:0015020	glucuronosyltransferase activity
GO:0046037	GMP metabolic process
GO:0016229	steroid dehydrogenase activity
GO:0033121	regulation of purine nucleotide catabolic process
GO:0046058	cAMP metabolic process
GO:0033124	regulation of GTP catabolic process
GO:0046051	UTP metabolic process
GO:0016226	iron-sulfur cluster assembly
GO:0034220	ion transmembrane transport
GO:0033903	endo-1,3(4)-beta-glucanase activity
GO:0006310	DNA recombination
GO:0051726	regulation of cell cycle
GO:0004500	dopamine beta-monooxygenase activity
GO:0019842	vitamin binding
GO:0019843	rRNA binding
GO:0030904	retromer complex
GO:0046456	icosanoid biosynthetic process
GO:0046451	diaminopimelate metabolic process
GO:0045905	positive regulation of translational termination
GO:0045900	negative regulation of translational elongation
GO:0045901	positive regulation of translational elongation
GO:0061024	membrane organization
GO:0015976	carbon utilization
GO:0015977	carbon fixation
GO:0005199	structural constituent of cell wall
GO:0005198	structural molecule activity
GO:0015979	photosynthesis
GO:0004506	squalene monooxygenase activity
GO:0031982	vesicle
GO:0031988	membrane-bounded vesicle
GO:0006265	DNA topological change
GO:0006260	DNA replication
GO:0006269	DNA replication, synthesis of RNA primer
GO:0005795	Golgi stack
GO:0005794	Golgi apparatus
GO:0009205	purine ribonucleoside triphosphate metabolic process
GO:0006448	regulation of translational elongation
GO:0006449	regulation of translational termination
GO:0009201	ribonucleoside triphosphate biosynthetic process
GO:0009200	deoxyribonucleoside triphosphate metabolic process
GO:0005798	Golgi-associated vesicle
GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process
GO:0030695	GTPase regulator activity
GO:0030163	protein catabolic process
GO:0005758	mitochondrial intermembrane space
GO:0046129	purine ribonucleoside biosynthetic process
GO:0046128	purine ribonucleoside metabolic process
GO:0010876	lipid localization
GO:0048870	cell motility
GO:0042242	cobyrinic acid a,c-diamide synthase activity
GO:0048878	chemical homeostasis
GO:0005663	DNA replication factor C complex
GO:0043039	tRNA aminoacylation
GO:0005665	DNA-directed RNA polymerase II, core complex
GO:0005664	nuclear origin of replication recognition complex
GO:0005667	transcription factor complex
GO:0048500	signal recognition particle
GO:0005669	transcription factor TFIID complex
GO:0005089	Rho guanyl-nucleotide exchange factor activity
GO:0005088	Ras guanyl-nucleotide exchange factor activity
GO:0005083	small GTPase regulator activity
GO:0005085	guanyl-nucleotide exchange factor activity
GO:0005086	ARF guanyl-nucleotide exchange factor activity
GO:0031361	integral to thylakoid membrane
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000226	microtubule cytoskeleton organization
GO:0042742	defense response to bacterium
GO:0031365	N-terminal protein amino acid modification
GO:0000228	nuclear chromosome
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
GO:0004421	hydroxymethylglutaryl-CoA synthase activity
GO:0004930	G-protein coupled receptor activity
GO:0004424	imidazoleglycerol-phosphate dehydratase activity
GO:0004427	inorganic diphosphatase activity
GO:0004428	inositol or phosphatidylinositol kinase activity
GO:0010277	chlorophyllide a oxygenase [overall] activity
GO:0003954	NADH dehydrogenase activity
GO:0065003	macromolecular complex assembly
GO:0065002	intracellular protein transmembrane transport
GO:0048478	replication fork protection
GO:0065007	biological regulation
GO:0065004	protein-DNA complex assembly
GO:0022803	passive transmembrane transporter activity
GO:0065009	regulation of molecular function
GO:0065008	regulation of biological quality
GO:0022804	active transmembrane transporter activity
GO:0016291	acyl-CoA thioesterase activity
GO:0008937	ferredoxin-NAD(P) reductase activity
GO:0005337	nucleoside transmembrane transporter activity
GO:0009157	deoxyribonucleoside monophosphate biosynthetic process
GO:0009156	ribonucleoside monophosphate biosynthetic process
GO:0009152	purine ribonucleotide biosynthetic process
GO:0009150	purine ribonucleotide metabolic process
GO:0008154	actin polymerization or depolymerization
GO:0008156	negative regulation of DNA replication
GO:0008150	biological_process
GO:0008152	metabolic process
GO:0008159	positive transcription elongation factor activity
GO:0000139	Golgi membrane
GO:0004334	fumarylacetoacetase activity
GO:0005249	voltage-gated potassium channel activity
GO:0005247	voltage-gated chloride channel activity
GO:0005246	calcium channel regulator activity
GO:0005244	voltage-gated ion channel activity
GO:0018410	C-terminal protein amino acid modification
GO:0006869	lipid transport
GO:0004112	cyclic-nucleotide phosphodiesterase activity
GO:0009790	embryo development
GO:0045229	external encapsulating structure organization
GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds
GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
GO:0046930	pore complex
GO:0046933	hydrogen ion transporting ATP synthase activity, rotational mechanism
GO:0031410	cytoplasmic vesicle
GO:0016829	lyase activity
GO:0000041	transition metal ion transport
GO:0046938	phytochelatin biosynthetic process
GO:0000045	autophagic vacuole assembly
GO:0004750	ribulose-phosphate 3-epimerase activity
GO:0004751	ribose-5-phosphate isomerase activity
GO:0015295	solute:hydrogen symporter activity
GO:0015294	solute:cation symporter activity
GO:0015297	antiporter activity
GO:0015291	secondary active transmembrane transporter activity
GO:0015293	symporter activity
GO:0015299	solute:hydrogen antiporter activity
GO:0015298	solute:cation antiporter activity
GO:0003964	RNA-directed DNA polymerase activity
GO:0055082	cellular chemical homeostasis
GO:0008200	ion channel inhibitor activity
GO:0055085	transmembrane transport
GO:0008202	steroid metabolic process
GO:0042318	penicillin biosynthetic process
GO:0032269	negative regulation of cellular protein metabolic process
GO:0051090	regulation of sequence-specific DNA binding transcription factor activity
GO:0019478	D-amino acid catabolic process
GO:0007242	intracellular signal transduction
GO:0006144	purine base metabolic process
GO:0032040	small-subunit processome
GO:0038023	signaling receptor activity
GO:0000439	core TFIIH complex
GO:0071496	cellular response to external stimulus
GO:0071824	protein-DNA complex subunit organization
GO:0016721	oxidoreductase activity, acting on superoxide radicals as acceptor
GO:0071826	ribonucleoprotein complex subunit organization
GO:0051540	metal cluster binding
GO:0071822	protein complex subunit organization
GO:0016728	oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor
GO:0016272	prefoldin complex
GO:0071554	cell wall organization or biogenesis
GO:0071555	cell wall organization
GO:0005576	extracellular region
GO:0015101	organic cation transmembrane transporter activity
GO:0015103	inorganic anion transmembrane transporter activity
GO:0010468	regulation of gene expression
GO:0034450	ubiquitin-ubiquitin ligase activity
GO:0019104	DNA N-glycosylase activity
GO:0019107	myristoyltransferase activity
GO:0005886	plasma membrane
GO:0019295	coenzyme M biosynthetic process
GO:0019296	coenzyme M metabolic process
GO:0016585	chromatin remodeling complex
GO:0007017	microtubule-based process
GO:0032991	macromolecular complex
GO:0032993	protein-DNA complex
GO:0007018	microtubule-based movement
GO:0044087	regulation of cellular component biogenesis
GO:0044085	cellular component biogenesis
GO:0016032	viral reproduction
GO:0015031	protein transport
GO:0015746	citrate transport
GO:0015035	protein disulfide oxidoreductase activity
GO:0015036	disulfide oxidoreductase activity
GO:0016211	ammonia ligase activity
GO:0004399	histidinol dehydrogenase activity
GO:0006306	DNA methylation
GO:0006305	DNA alkylation
GO:0006304	DNA modification
GO:0006303	double-strand break repair via nonhomologous end joining
GO:0019856	pyrimidine base biosynthetic process
GO:0019855	calcium channel inhibitor activity
GO:0006308	DNA catabolic process
GO:0016108	tetraterpenoid metabolic process
GO:0016109	tetraterpenoid biosynthetic process
GO:0016458	gene silencing
GO:0016459	myosin complex
GO:0016455	RNA polymerase II transcription cofactor activity
GO:0030597	RNA glycosylase activity
GO:0015969	guanosine tetraphosphate metabolic process
GO:0030599	pectinesterase activity
GO:0030598	rRNA N-glycosylase activity
GO:0046488	phosphatidylinositol metabolic process
GO:0046486	glycerolipid metabolic process
GO:0046483	heterocycle metabolic process
GO:0042325	regulation of phosphorylation
GO:0006278	RNA-dependent DNA replication
GO:0006270	DNA-dependent DNA replication initiation
GO:0006275	regulation of DNA replication
GO:0044428	nuclear part
GO:0044429	mitochondrial part
GO:0044424	intracellular part
GO:0044425	membrane part
GO:0044427	chromosomal part
GO:0044421	extracellular region part
GO:0044422	organelle part
GO:0009163	nucleoside biosynthetic process
GO:0006452	translational frameshifting
GO:0009894	regulation of catabolic process
GO:0030688	preribosome, small subunit precursor
GO:0009892	negative regulation of metabolic process
GO:0009893	positive regulation of metabolic process
GO:0009890	negative regulation of biosynthetic process
GO:0009891	positive regulation of biosynthetic process
GO:0009161	ribonucleoside monophosphate metabolic process
GO:0030684	preribosome
GO:0030176	integral to endoplasmic reticulum membrane
GO:0030170	pyridoxal phosphate binding
GO:0030173	integral to Golgi membrane
GO:0042255	ribosome assembly
GO:0042254	ribosome biogenesis
GO:0042256	mature ribosome assembly
GO:0003779	actin binding
GO:0043021	ribonucleoprotein binding
GO:0017076	purine nucleotide binding
GO:0043022	ribosome binding
GO:0003774	motor activity
GO:0003777	microtubule motor activity
GO:0009308	amine metabolic process
GO:0009309	amine biosynthetic process
GO:0035300	inositol-1,3,4-trisphosphate 5/6-kinase activity
GO:0035303	regulation of dephosphorylation
GO:0006586	indolalkylamine metabolic process
GO:0004437	inositol or phosphatidylinositol phosphatase activity
GO:0004435	phosphatidylinositol phospholipase C activity
GO:0035091	phosphatidylinositol binding
GO:0030570	pectate lyase activity
GO:0006691	leukotriene metabolic process
GO:0006690	icosanoid metabolic process
GO:0006694	steroid biosynthetic process
GO:0005342	organic acid transmembrane transporter activity
GO:0005343	organic acid:sodium symporter activity
GO:0008146	sulfotransferase activity
GO:0031228	intrinsic to Golgi membrane
GO:0031229	intrinsic to nuclear inner membrane
GO:0009416	response to light stimulus
GO:0009414	response to water deprivation
GO:0009415	response to water
GO:0004650	polygalacturonase activity
GO:0031227	intrinsic to endoplasmic reticulum membrane
GO:0031224	intrinsic to membrane
GO:0004329	formate-tetrahydrofolate ligase activity
GO:0000123	histone acetyltransferase complex
GO:0004325	ferrochelatase activity
GO:0005509	calcium ion binding
GO:0009098	leucine biosynthetic process
GO:0005504	fatty acid binding
GO:0009097	isoleucine biosynthetic process
GO:0009094	L-phenylalanine biosynthetic process
GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway
GO:0015985	energy coupled proton transport, down electrochemical gradient
GO:0006879	cellular iron ion homeostasis
GO:0004106	chorismate mutase activity
GO:0006875	cellular metal ion homeostasis
GO:0008853	exodeoxyribonuclease III activity
GO:0008324	cation transmembrane transporter activity
GO:0006873	cellular ion homeostasis
GO:0008320	protein transmembrane transporter activity
GO:0042546	cell wall biogenesis
GO:0046923	ER retention sequence binding
GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
GO:0016854	racemase and epimerase activity
GO:0016855	racemase and epimerase activity, acting on amino acids and derivatives
GO:0009522	photosystem I
GO:0009523	photosystem II
GO:0009521	photosystem
GO:0031420	alkali metal ion binding
GO:0016859	cis-trans isomerase activity
GO:0004748	ribonucleoside-diphosphate reductase activity
GO:0004743	pyruvate kinase activity
GO:0042548	regulation of photosynthesis, light reaction
GO:0008213	protein alkylation
GO:0008216	spermidine metabolic process
GO:0008215	spermine metabolic process
GO:0008219	cell death
GO:0007275	multicellular organismal development
GO:0001882	nucleoside binding
GO:0019787	small conjugating protein ligase activity
GO:0010181	FMN binding
GO:0030832	regulation of actin filament length
GO:0006518	peptide metabolic process
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0017089	glycolipid transporter activity
GO:0016731	oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor
GO:0016730	oxidoreductase activity, acting on iron-sulfur proteins as donors
GO:0015137	citrate transmembrane transporter activity
GO:0070013	intracellular organelle lumen
GO:0070011	peptidase activity, acting on L-amino acid peptides
GO:0032324	molybdopterin cofactor biosynthetic process
GO:0034440	lipid oxidation
GO:0019139	cytokinin dehydrogenase activity
GO:0047325	inositol tetrakisphosphate 1-kinase activity
GO:0019136	deoxynucleoside kinase activity
GO:0032147	activation of protein kinase activity
GO:0007008	outer mitochondrial membrane organization
GO:0007007	inner mitochondrial membrane organization
GO:0007006	mitochondrial membrane organization
GO:0007005	mitochondrion organization
GO:0045786	negative regulation of cell cycle
GO:0016023	cytoplasmic membrane-bounded vesicle
GO:0016021	integral to membrane
GO:0016020	membrane
GO:0044093	positive regulation of molecular function
GO:0044092	negative regulation of molecular function
GO:0033036	macromolecule localization
GO:0015002	heme-copper terminal oxidase activity
GO:0019627	urea metabolic process
GO:0046039	GTP metabolic process
GO:0030216	keratinocyte differentiation
GO:0046034	ATP metabolic process
GO:0016209	antioxidant activity
GO:0046036	CTP metabolic process
GO:0033925	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
GO:0008443	phosphofructokinase activity
GO:0051707	response to other organism
GO:0051704	multi-organism process
GO:0043234	protein complex
GO:0043235	receptor complex
GO:0019825	oxygen binding
GO:0043231	intracellular membrane-bounded organelle
GO:0043232	intracellular non-membrane-bounded organelle
GO:0043233	organelle lumen
GO:0019829	cation-transporting ATPase activity
GO:0016117	carotenoid biosynthetic process
GO:0016116	carotenoid metabolic process
GO:0016114	terpenoid biosynthetic process
GO:0046422	violaxanthin de-epoxidase activity
GO:0034062	RNA polymerase activity
GO:0034061	DNA polymerase activity
GO:0046493	lipid A metabolic process
GO:0046490	isopentenyl diphosphate metabolic process
GO:0046496	nicotinamide nucleotide metabolic process
GO:0034660	ncRNA metabolic process
GO:0042316	penicillin metabolic process
GO:0006206	pyrimidine base metabolic process
GO:0006207	'de novo' pyrimidine base biosynthetic process
GO:0044433	cytoplasmic vesicle part
GO:0044432	endoplasmic reticulum part
GO:0044431	Golgi apparatus part
GO:0044430	cytoskeletal part
GO:0044437	vacuolar part
GO:0044436	thylakoid part
GO:0044439	peroxisomal part
GO:0044438	microbody part
GO:0030234	enzyme regulator activity
GO:0006426	glycyl-tRNA aminoacylation
GO:0006425	glutaminyl-tRNA aminoacylation
GO:0009881	photoreceptor activity
GO:0006423	cysteinyl-tRNA aminoacylation
GO:0006420	arginyl-tRNA aminoacylation
GO:0009889	regulation of biosynthetic process
GO:0030145	manganese ion binding
GO:0031163	metallo-sulfur cluster assembly
GO:0046146	tetrahydrobiopterin metabolic process
GO:0009507	chloroplast
GO:0046149	pigment catabolic process
GO:0046148	pigment biosynthetic process
GO:0005643	nuclear pore
GO:0050896	response to stimulus
GO:0050897	cobalt ion binding
GO:0008440	inositol trisphosphate 3-kinase activity
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0003746	translation elongation factor activity
GO:0003747	translation release factor activity
GO:0003743	translation initiation factor activity
GO:0006739	NADP metabolic process
GO:0006732	coenzyme metabolic process
GO:0009314	response to radiation
GO:0006730	one-carbon metabolic process
GO:0009311	oligosaccharide metabolic process
GO:0009310	amine catabolic process
GO:0009312	oligosaccharide biosynthetic process
GO:0031305	integral to mitochondrial inner membrane
GO:0031304	intrinsic to mitochondrial inner membrane
GO:0031301	integral to organelle membrane
GO:0031300	intrinsic to organelle membrane
GO:0090329	regulation of DNA-dependent DNA replication
GO:0031090	organelle membrane
GO:0005351	sugar:hydrogen symporter activity
GO:0008138	protein tyrosine/serine/threonine phosphatase activity
GO:0008137	NADH dehydrogenase (ubiquinone) activity
GO:0008135	translation factor activity, nucleic acid binding
GO:0008131	primary amine oxidase activity
GO:0009405	pathogenesis
GO:0031231	intrinsic to peroxisomal membrane
GO:0042651	thylakoid membrane
GO:0006032	chitin catabolic process
GO:0004358	glutamate N-acetyltransferase activity
GO:0004359	glutaminase activity
GO:0004356	glutamate-ammonia ligase activity
GO:0004357	glutamate-cysteine ligase activity
GO:0010324	membrane invagination
GO:0009089	lysine biosynthetic process via diaminopimelate
GO:0005515	protein binding
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0009084	glutamine family amino acid biosynthetic process
GO:0004592	pantoate-beta-alanine ligase activity
GO:0009086	methionine biosynthetic process
GO:0004594	pantothenate kinase activity
GO:0009082	branched chain family amino acid biosynthetic process
GO:0004176	ATP-dependent peptidase activity
GO:0004177	aminopeptidase activity
GO:0006842	tricarboxylic acid transport
GO:0004175	endopeptidase activity
GO:0008685	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate synthase activity
GO:0008047	enzyme activator activity
GO:0001522	pseudouridine synthesis
GO:0016844	strictosidine synthase activity
GO:0016846	carbon-sulfur lyase activity
GO:0016841	ammonia-lyase activity
GO:0016840	carbon-nitrogen lyase activity
GO:0016843	amine-lyase activity
GO:0016842	amidine-lyase activity
GO:0009539	photosystem II reaction center
GO:0009538	photosystem I reaction center
GO:0000062	fatty-acyl-CoA binding
GO:0004779	sulfate adenylyltransferase activity
GO:0008915	lipid-A-disaccharide synthase activity
GO:0004003	ATP-dependent DNA helicase activity
GO:0004000	adenosine deaminase activity
GO:0003906	DNA-(apurinic or apyrimidinic site) lyase activity
GO:0003905	alkylbase DNA N-glycosylase activity
GO:0008262	importin-alpha export receptor activity
GO:0055065	metal ion homeostasis
GO:0006888	ER to Golgi vesicle-mediated transport
GO:0050080	malonyl-CoA decarboxylase activity
GO:0003909	DNA ligase activity
GO:0006996	organelle organization
GO:0044238	primary metabolic process
GO:0009620	response to fungus
GO:0032200	telomere organization
GO:0044237	cellular metabolic process
GO:0032313	regulation of Rab GTPase activity
GO:0006535	cysteine biosynthetic process from serine
GO:0071844	cellular component assembly at cellular level
GO:0071845	cellular component disassembly at cellular level
GO:0071842	cellular component organization at cellular level
GO:0071843	cellular component biogenesis at cellular level
GO:0071840	cellular component organization or biogenesis
GO:0071841	cellular component organization or biogenesis at cellular level
GO:0001682	tRNA 5'-leader removal
GO:0015125	bile acid transmembrane transporter activity
GO:0000922	spindle pole
GO:0070001	aspartic-type peptidase activity
GO:0032446	protein modification by small protein conjugation
GO:0070003	threonine-type peptidase activity
GO:0070008	serine-type exopeptidase activity
GO:0006537	glutamate biosynthetic process
GO:0034470	ncRNA processing
GO:0019904	protein domain specific binding
GO:0055114	oxidation-reduction process
GO:0003008	system process
GO:0016054	organic acid catabolic process
GO:0016052	carbohydrate catabolic process
GO:0016053	organic acid biosynthetic process
GO:0016051	carbohydrate biosynthetic process
GO:0033554	cellular response to stress
GO:0019637	organophosphate metabolic process
GO:0015018	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity
GO:0032535	regulation of cellular component size
GO:0030203	glycosaminoglycan metabolic process
GO:0071267	L-methionine salvage
GO:0016278	lysine N-methyltransferase activity
GO:0071265	L-methionine biosynthetic process
GO:0043229	intracellular organelle
GO:0043228	non-membrane-bounded organelle
GO:0043227	membrane-bounded organelle
